1, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
128, forest, minecraft:old_growth_birch_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
129, forest, minecraft:old_growth_birch_forest, MONSTER, graveyard:ghoul, 25, 2, 5
130, forest, minecraft:old_growth_birch_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
131, forest, minecraft:old_growth_birch_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
132, forest, minecraft:old_growth_birch_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
133, taiga, minecraft:old_growth_pine_taiga, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
134, taiga, minecraft:old_growth_pine_taiga, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
135, taiga, minecraft:old_growth_pine_taiga, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
136, taiga, minecraft:old_growth_pine_taiga, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
137, taiga, minecraft:old_growth_pine_taiga, MONSTER, direbats:direbat, 36, 1, 3
138, taiga, minecraft:old_growth_pine_taiga, MONSTER, mythicmounts:dragon, 80, 1, 1
139, taiga, minecraft:old_growth_pine_taiga, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
140, taiga, minecraft:old_growth_pine_taiga, MONSTER, uselessreptile:moleclaw, 80, 1, 1
141, taiga, minecraft:old_growth_pine_taiga, MONSTER, graveyard:revenant, 25, 5, 8
142, taiga, minecraft:old_growth_pine_taiga, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
143, taiga, minecraft:old_growth_pine_taiga, AMBIENT, mythicmounts:firebird, 5, 1, 1
144, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
145, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
146, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
147, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
148, taiga, minecraft:old_growth_spruce_taiga, MONSTER, direbats:direbat, 36, 1, 3
149, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mythicmounts:dragon, 80, 1, 1
150, taiga, minecraft:old_growth_spruce_taiga, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
151, taiga, minecraft:old_growth_spruce_taiga, MONSTER, uselessreptile:moleclaw, 80, 1, 1
152, taiga, minecraft:old_growth_spruce_taiga, MONSTER, graveyard:revenant, 25, 5, 8
153, taiga, minecraft:old_growth_spruce_taiga, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
154, taiga, minecraft:old_growth_spruce_taiga, CREATURE, mythicmounts:direwolf, 10, 2, 4
155, taiga, minecraft:old_growth_spruce_taiga, AMBIENT, mythicmounts:firebird, 5, 1, 1
156, taiga, minecraft:taiga, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
157, taiga, minecraft:taiga, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
158, taiga, minecraft:taiga, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
159, taiga, minecraft:taiga, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
160, taiga, minecraft:taiga, MONSTER, direbats:direbat, 36, 1, 3
161, taiga, minecraft:taiga, MONSTER, mythicmounts:dragon, 80, 1, 1
162, taiga, minecraft:taiga, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
163, taiga, minecraft:taiga, MONSTER, uselessreptile:moleclaw, 80, 1, 1
164, taiga, minecraft:taiga, MONSTER, graveyard:revenant, 25, 5, 8
165, taiga, minecraft:taiga, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
166, taiga, minecraft:taiga, AMBIENT, mythicmounts:firebird, 5, 1, 1
167, icy, minecraft:snowy_taiga, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
168, icy, minecraft:snowy_taiga, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
169, icy, minecraft:snowy_taiga, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
170, icy, minecraft:snowy_taiga, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
171, icy, minecraft:snowy_taiga, MONSTER, direbats:direbat, 36, 1, 3
172, icy, minecraft:snowy_taiga, MONSTER, mythicmounts:dragon, 80, 1, 1
173, icy, minecraft:snowy_taiga, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
174, icy, minecraft:snowy_taiga, MONSTER, uselessreptile:moleclaw, 80, 1, 1
175, icy, minecraft:snowy_taiga, MONSTER, graveyard:nightmare, 10, 1, 1
176, icy, minecraft:snowy_taiga, MONSTER, graveyard:revenant, 25, 5, 8
177, icy, minecraft:snowy_taiga, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
178, icy, minecraft:snowy_taiga, CREATURE, mythicmounts:acencia, 10, 1, 3
179, icy, minecraft:snowy_taiga, AMBIENT, mythicmounts:firebird, 5, 1, 1
180, savanna, minecraft:savanna, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
181, savanna, minecraft:savanna, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
182, savanna, minecraft:savanna, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
183, savanna, minecraft:savanna, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
184, savanna, minecraft:savanna, MONSTER, mythicmounts:dragon, 80, 1, 1
185, savanna, minecraft:savanna, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
186, savanna, minecraft:savanna, MONSTER, uselessreptile:moleclaw, 80, 1, 1
187, savanna, minecraft:savanna, MONSTER, graveyard:nightmare, 10, 1, 1
188, savanna, minecraft:savanna, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
189, savanna, minecraft:savanna, AMBIENT, mythicmounts:firebird, 5, 1, 1
190, private, minecraft:savanna_plateau, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
191, private, minecraft:savanna_plateau, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
192, private, minecraft:savanna_plateau, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
193, private, minecraft:savanna_plateau, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
194, private, minecraft:savanna_plateau, MONSTER, mythicmounts:dragon, 80, 1, 1
195, private, minecraft:savanna_plateau, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
196, private, minecraft:savanna_plateau, MONSTER, uselessreptile:moleclaw, 80, 1, 1
197, private, minecraft:savanna_plateau, MONSTER, graveyard:nightmare, 10, 1, 1
198, private, minecraft:savanna_plateau, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
199, private, minecraft:savanna_plateau, AMBIENT, mythicmounts:firebird, 5, 1, 1
200, private, minecraft:windswept_hills, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
201, private, minecraft:windswept_hills, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
202, private, minecraft:windswept_hills, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
203, private, minecraft:windswept_hills, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
204, private, minecraft:windswept_hills, MONSTER, mythicmounts:dragon, 80, 1, 1
205, private, minecraft:windswept_hills, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
206, private, minecraft:windswept_hills, MONSTER, uselessreptile:moleclaw, 80, 1, 1
207, private, minecraft:windswept_hills, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
208, private, minecraft:windswept_hills, AMBIENT, mythicmounts:firebird, 5, 1, 1
209, private, minecraft:windswept_gravelly_hills, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
210, private, minecraft:windswept_gravelly_hills, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
211, private, minecraft:windswept_gravelly_hills, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
212, private, minecraft:windswept_gravelly_hills, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
213, private, minecraft:windswept_gravelly_hills, MONSTER, mythicmounts:dragon, 80, 1, 1
214, private, minecraft:windswept_gravelly_hills, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
215, private, minecraft:windswept_gravelly_hills, MONSTER, uselessreptile:moleclaw, 80, 1, 1
216, private, minecraft:windswept_gravelly_hills, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
217, private, minecraft:windswept_gravelly_hills, CREATURE, mythicmounts:griffon, 10, 1, 1
218, private, minecraft:windswept_gravelly_hills, AMBIENT, mythicmounts:firebird, 5, 1, 1
219, private, minecraft:windswept_forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
220, private, minecraft:windswept_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
221, private, minecraft:windswept_forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
222, private, minecraft:windswept_forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
223, private, minecraft:windswept_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
224, private, minecraft:windswept_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
225, private, minecraft:windswept_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
226, private, minecraft:windswept_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
227, private, minecraft:windswept_forest, CREATURE, mythicmounts:griffon, 10, 1, 1
228, private, minecraft:windswept_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
229, private, minecraft:windswept_savanna, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
230, private, minecraft:windswept_savanna, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
231, private, minecraft:windswept_savanna, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
232, private, minecraft:windswept_savanna, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
233, private, minecraft:windswept_savanna, MONSTER, mythicmounts:dragon, 80, 1, 1
234, private, minecraft:windswept_savanna, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
235, private, minecraft:windswept_savanna, MONSTER, uselessreptile:moleclaw, 80, 1, 1
236, private, minecraft:windswept_savanna, MONSTER, graveyard:nightmare, 10, 1, 1
237, private, minecraft:windswept_savanna, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
238, private, minecraft:windswept_savanna, AMBIENT, mythicmounts:firebird, 5, 1, 1
239, jungle, minecraft:jungle, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
240, jungle, minecraft:jungle, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
241, jungle, minecraft:jungle, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
242, jungle, minecraft:jungle, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
243, jungle, minecraft:jungle, MONSTER, mythicmounts:dragon, 80, 1, 1
244, jungle, minecraft:jungle, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
245, jungle, minecraft:jungle, MONSTER, uselessreptile:moleclaw, 80, 1, 1
246, jungle, minecraft:jungle, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
247, jungle, minecraft:jungle, CREATURE, mythicmounts:courierbird, 12, 2, 4
248, jungle, minecraft:jungle, AMBIENT, mythicmounts:firebird, 5, 1, 1
249, jungle, minecraft:sparse_jungle, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
250, jungle, minecraft:sparse_jungle, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
251, jungle, minecraft:sparse_jungle, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
252, jungle, minecraft:sparse_jungle, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
253, jungle, minecraft:sparse_jungle, MONSTER, mythicmounts:dragon, 80, 1, 1
254, jungle, minecraft:sparse_jungle, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
255, jungle, minecraft:sparse_jungle, MONSTER, uselessreptile:moleclaw, 80, 1, 1
256, jungle, minecraft:sparse_jungle, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
257, jungle, minecraft:sparse_jungle, CREATURE, mythicmounts:courierbird, 12, 2, 4
258, jungle, minecraft:sparse_jungle, AMBIENT, mythicmounts:firebird, 5, 1, 1
259, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
260, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
261, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
262, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
263, jungle, minecraft:bamboo_jungle, MONSTER, mythicmounts:dragon, 80, 1, 1
264, jungle, minecraft:bamboo_jungle, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
265, jungle, minecraft:bamboo_jungle, MONSTER, uselessreptile:moleclaw, 80, 1, 1
266, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
267, jungle, minecraft:bamboo_jungle, CREATURE, mythicmounts:courierbird, 12, 2, 4
268, jungle, minecraft:bamboo_jungle, AMBIENT, mythicmounts:firebird, 5, 1, 1
269, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
270, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
271, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
272, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
273, badlands, minecraft:badlands, MONSTER, mythicmounts:dragon, 80, 1, 1
274, badlands, minecraft:badlands, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
275, badlands, minecraft:badlands, MONSTER, uselessreptile:moleclaw, 80, 1, 1
276, badlands, minecraft:badlands, MONSTER, graveyard:nightmare, 10, 1, 1
277, badlands, minecraft:badlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
278, badlands, minecraft:badlands, AMBIENT, mythicmounts:firebird, 5, 1, 1
279, badlands, minecraft:eroded_badlands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
280, badlands, minecraft:eroded_badlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
281, badlands, minecraft:eroded_badlands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
282, badlands, minecraft:eroded_badlands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
283, badlands, minecraft:eroded_badlands, MONSTER, mythicmounts:dragon, 80, 1, 1
284, badlands, minecraft:eroded_badlands, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
285, badlands, minecraft:eroded_badlands, MONSTER, uselessreptile:moleclaw, 80, 1, 1
286, badlands, minecraft:eroded_badlands, MONSTER, graveyard:nightmare, 10, 1, 1
287, badlands, minecraft:eroded_badlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
288, badlands, minecraft:eroded_badlands, AMBIENT, mythicmounts:firebird, 5, 1, 1
289, badlands, minecraft:wooded_badlands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
290, badlands, minecraft:wooded_badlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
291, badlands, minecraft:wooded_badlands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
292, badlands, minecraft:wooded_badlands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
293, badlands, minecraft:wooded_badlands, MONSTER, mythicmounts:dragon, 80, 1, 1
294, badlands, minecraft:wooded_badlands, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
295, badlands, minecraft:wooded_badlands, MONSTER, uselessreptile:moleclaw, 80, 1, 1
296, badlands, minecraft:wooded_badlands, MONSTER, graveyard:nightmare, 10, 1, 1
297, badlands, minecraft:wooded_badlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
298, badlands, minecraft:wooded_badlands, AMBIENT, mythicmounts:firebird, 5, 1, 1
299, extreme_hills, minecraft:meadow, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
300, extreme_hills, minecraft:meadow, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
301, extreme_hills, minecraft:meadow, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
302, extreme_hills, minecraft:meadow, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
303, extreme_hills, minecraft:meadow, MONSTER, mythicmounts:dragon, 80, 1, 1
